yearRegister,gender,majorityStatus,isForcedLabour,isSexualExploit,UN_COO_Region,UN_COE_Region,IP_Exploiter,IP_Gender,IP_ageBroad,IP_citizen_UNRegion,IP_Relation,IP_PayMoney,IP_RecruiterBroker,IP_TransactionProcess,IP_ControlAbuseKidnap
2014-2018,Female,Adult,1,,Europe,Europe,1,Female;Male,,Europe,StrangerUnknownOther,No;Yes,1,1,
2014-2018,Female,Adult,1,,Europe,Europe,1,Female;Male,,Europe,StrangerUnknownOther,No;Yes,1,1,
2014-2018,Female,Adult,1,,Europe,Europe,1,Female;Male,,Europe,StrangerUnknownOther,No;Yes,1,1,
2014-2018,Female,Adult,1,,Europe,Europe,1,Female;Male,,Europe,StrangerUnknownOther,No;Yes,1,1,
2014-2018,Female,Adult,1,,Europe,Europe,1,Female;Male,,Europe,StrangerUnknownOther,No;Yes,1,1,
2014-2018,Female,Adult,1,,Europe,Europe,1,Female;Male,,Europe,StrangerUnknownOther,No;Yes,1,1,
2014-2018,Female,Adult,1,,Europe,Europe,1,Female;Male,,Europe,StrangerUnknownOther,No;Yes,1,1,
2014-2018,Female,Adult,1,,Europe,Europe,1,Female;Male,,Europe,StrangerUnknownOther,No;Yes,1,1,
2014-2018,Female,Adult,1,,Europe,Europe,1,Female;Male,,Europe,StrangerUnknownOther,No;Yes,1,1,
2014-2018,Female,Adult,1,,Europe,Europe,1,Female;Male,,Europe,StrangerUnknownOther,No;Yes,1,1,
2014-2018,Female,Adult,1,,Europe,Europe,1,Female;Male,,Europe,StrangerUnknownOther,No;Yes,1,1,
2014-2018,Female,Adult,1,,Europe,Europe,1,Female;Male,,Europe,StrangerUnknownOther,No;Yes,1,1,
2014-2018,Female,Adult,1,,Europe,Europe,1,Female;Male,,Europe,StrangerUnknownOther,No;Yes,1,1,
2014-2018,Female,Adult,1,,Europe,Europe,1,Female;Male,,Europe,StrangerUnknownOther,No;Yes,1,1,
2014-2018,Female,Adult,1,,Europe,Europe,1,Female;Male,,Europe,StrangerUnknownOther,No;Yes,1,1,
2014-2018,Female,Adult,1,,Europe,Europe,1,Female;Male,,Europe,StrangerUnknownOther,No;Yes,1,1,
2014-2018,Female,Adult,1,,Europe,Europe,1,Female;Male,,Europe,StrangerUnknownOther,No;Yes,1,1,
2014-2018,Female,Adult,1,,Europe,Europe,1,Female;Male,,Europe,FriendAcquaintance;StrangerUnknownOther,No,1,1,
2014-2018,Female,Adult,1,,Europe,Europe,1,Female;Male,,Europe,FriendAcquaintance;StrangerUnknownOther,No,1,1,
2014-2018,Female,Adult,1,,Europe,Europe,1,Female;Male,,Europe,FriendAcquaintance;StrangerUnknownOther,No,1,1,
2014-2018,Female,Adult,1,,Europe,Europe,1,Female;Male,,Europe,FriendAcquaintance;StrangerUnknownOther,No,1,1,
2014-2018,Male,Adult,1,,Asia,Asia,1,Female;Male,,Asia,StrangerUnknownOther,No;Yes,1,1,
2014-2018,Male,Adult,1,,Asia,Asia,1,Female;Male,,Asia,StrangerUnknownOther,No;Yes,1,1,
2014-2018,Male,Adult,1,,Asia,Asia,1,Female;Male,,Asia,StrangerUnknownOther,No;Yes,1,1,
2014-2018,Male,Adult,1,,Asia,Asia,1,Female;Male,,Asia,StrangerUnknownOther,No;Yes,1,1,
2014-2018,Male,Adult,1,,Asia,Asia,1,Female;Male,,Asia,StrangerUnknownOther,No;Yes,1,1,
2014-2018,Male,Adult,1,,Asia,Asia,1,Female;Male,,Asia,FriendAcquaintance,No;Yes,1,1,
2014-2018,Male,Adult,1,,Asia,Asia,1,Female;Male,,Asia,FriendAcquaintance,No;Yes,1,1,
2014-2018,Male,Adult,1,,Europe,Europe,1,Female;Male,,Europe,StrangerUnknownOther,No;Yes,1,1,
2014-2018,Male,Adult,1,,Europe,Europe,1,Female;Male,,Europe,StrangerUnknownOther,No;Yes,1,1,
2014-2018,Male,Adult,1,,Europe,Europe,1,Female;Male,,Europe,StrangerUnknownOther,No;Yes,1,1,
2014-2018,Male,Adult,1,,Europe,Europe,1,Female;Male,,Europe,StrangerUnknownOther,No;Yes,1,1,
2014-2018,Male,Adult,1,,Europe,Europe,1,Female;Male,,Europe,StrangerUnknownOther,No;Yes,1,1,
2014-2018,Male,Adult,1,,Europe,Europe,1,Female;Male,,Europe,StrangerUnknownOther,No;Yes,1,1,
2014-2018,Male,Adult,1,,Europe,Europe,1,Female;Male,,Europe,StrangerUnknownOther,No;Yes,1,1,
2014-2018,Male,Adult,1,,Europe,Europe,1,Female;Male,,Europe,StrangerUnknownOther,No;Yes,1,1,
2014-2018,Male,Adult,1,,Europe,Europe,1,Female;Male,,Europe,StrangerUnknownOther,No;Yes,1,1,
2014-2018,Male,Adult,1,,Europe,Europe,1,Female;Male,,Europe,StrangerUnknownOther,No;Yes,1,1,
2014-2018,Male,Adult,1,,Europe,Europe,1,Female;Male,,Europe,StrangerUnknownOther,No;Yes,1,1,
2014-2018,Male,Adult,1,,Europe,Europe,1,Female;Male,,Europe,StrangerUnknownOther,No;Yes,1,1,
2014-2018,Male,Adult,1,,Europe,Europe,1,Female;Male,,Europe,StrangerUnknownOther,No;Yes,1,1,
2014-2018,Male,Adult,1,,Europe,Europe,1,Female;Male,,Europe,StrangerUnknownOther,No;Yes,1,1,
2014-2018,Male,Adult,1,,Europe,Europe,1,Female;Male,,Europe,StrangerUnknownOther,No;Yes,1,1,
2014-2018,Male,Adult,1,,Europe,Europe,1,Female;Male,,Europe,StrangerUnknownOther,No;Yes,1,1,
2014-2018,Male,Adult,1,,Europe,Europe,1,Female;Male,,Europe,StrangerUnknownOther,No;Yes,1,1,
2014-2018,Male,Adult,1,,Europe,Europe,1,Female;Male,,Europe,StrangerUnknownOther,No;Yes,1,1,
2014-2018,Male,Adult,1,,Europe,Europe,1,Female;Male,,Europe,StrangerUnknownOther,No;Yes,1,1,
2014-2018,Male,Adult,1,,Europe,Europe,1,Female;Male,,Europe,StrangerUnknownOther,No;Yes,1,1,
2014-2018,Male,Adult,1,,Europe,Europe,1,Female;Male,,Europe,StrangerUnknownOther,No;Yes,1,1,
2014-2018,Male,Adult,1,,Europe,Europe,1,Female;Male,,Europe,StrangerUnknownOther,No;Yes,1,1,
2014-2018,Male,Adult,1,,Europe,Europe,1,Female;Male,,Europe,StrangerUnknownOther,No;Yes,1,1,
2014-2018,Male,Adult,1,,Europe,Europe,1,Female;Male,,Europe,StrangerUnknownOther,No;Yes,1,1,
2014-2018,Male,Adult,1,,Europe,Europe,1,Female;Male,,Europe,StrangerUnknownOther,No;Yes,1,1,
2014-2018,Male,Adult,1,,Europe,Europe,1,Female;Male,,Europe,StrangerUnknownOther,No;Yes,1,1,
2014-2018,Male,Adult,1,,Europe,Europe,1,Female;Male,,Europe,StrangerUnknownOther,No;Yes,1,1,
2014-2018,Male,Adult,1,,Europe,Europe,1,Female;Male,,Europe,StrangerUnknownOther,No;Yes,1,1,
2014-2018,Male,Adult,1,,Europe,Europe,1,Female;Male,,Europe,StrangerUnknownOther,No;Yes,1,1,
2014-2018,Male,Adult,1,,Europe,Europe,1,Female;Male,,Europe,StrangerUnknownOther,No;Yes,1,1,
2014-2018,Male,Adult,1,,Europe,Europe,1,Female;Male,,Europe,StrangerUnknownOther,No;Yes,1,1,
2014-2018,Male,Adult,1,,Europe,Europe,1,Female;Male,,Europe,StrangerUnknownOther,No;Yes,1,1,
2014-2018,Male,Adult,1,,Europe,Europe,1,Female;Male,,Europe,StrangerUnknownOther,No;Yes,1,1,
2014-2018,Male,Adult,1,,Europe,Europe,1,Female;Male,,Europe,StrangerUnknownOther,No;Yes,1,1,
2014-2018,Male,Adult,1,,Europe,Europe,1,Female;Male,,Europe,StrangerUnknownOther,No;Yes,1,1,
2014-2018,Male,Adult,1,,Europe,Europe,1,Female;Male,,Europe,StrangerUnknownOther,No;Yes,1,1,
2014-2018,Male,Adult,1,,Europe,Europe,1,Female;Male,,Europe,StrangerUnknownOther,No;Yes,1,1,
2014-2018,Male,Adult,1,,Europe,Europe,1,Female;Male,,Europe,StrangerUnknownOther,No;Yes,1,1,
2014-2018,Male,Adult,1,,Europe,Europe,1,Female;Male,,Europe,StrangerUnknownOther,No;Yes,1,1,
2014-2018,Male,Adult,1,,Europe,Europe,1,Female;Male,,Europe,StrangerUnknownOther,No;Yes,1,1,
2014-2018,Male,Adult,1,,Europe,Europe,1,Female;Male,,Europe,StrangerUnknownOther,No;Yes,1,1,
2014-2018,Male,Adult,1,,Europe,Europe,1,Female;Male,,Europe,StrangerUnknownOther,No;Yes,1,1,
2014-2018,Male,Adult,1,,Europe,Europe,1,Female;Male,,Europe,StrangerUnknownOther,No;Yes,1,1,
2014-2018,Male,Adult,1,,Europe,Europe,1,Female;Male,,Europe,FriendAcquaintance;StrangerUnknownOther,No,1,1,
2014-2018,Male,Adult,1,,Europe,Europe,1,Female;Male,,Europe,FriendAcquaintance;StrangerUnknownOther,No,1,1,
2014-2018,Male,Adult,1,,Europe,Europe,1,Female;Male,,Europe,FriendAcquaintance;StrangerUnknownOther,No,1,1,
2014-2018,Male,Adult,1,,Europe,Europe,1,Female;Male,,Europe,FriendAcquaintance;StrangerUnknownOther,No,1,1,
2014-2018,Male,Adult,1,,Europe,Europe,1,Female;Male,,Europe,FriendAcquaintance;StrangerUnknownOther,No,1,1,
2019,Female,Adult,1,,Asia,Asia,1,Female;Male,,Asia,FriendAcquaintance;StrangerUnknownOther,No,1,1,
2019,Female,Adult,1,,Asia,Asia,1,Female;Male,,Asia,FriendAcquaintance;StrangerUnknownOther,No,1,1,
2019,Female,Adult,1,,Asia,Asia,1,Female;Male,,Asia,FriendAcquaintance;StrangerUnknownOther,No,1,1,
2019,Female,Adult,1,,Asia,Asia,1,Female;Male,,Asia,FriendAcquaintance;StrangerUnknownOther,No,1,1,
2019,Female,Adult,1,,Asia,Asia,1,Female;Male,,Asia,FriendAcquaintance;StrangerUnknownOther,No,1,1,
2019,Female,Adult,1,,Asia,Asia,1,Female;Male,,Asia,FriendAcquaintance;StrangerUnknownOther,No,1,1,
2019,Female,Adult,1,,Asia,Asia,1,Female;Male,,Asia,FriendAcquaintance;StrangerUnknownOther,No,1,1,
2019,Female,Adult,1,,Asia,Asia,1,Female;Male,,Asia,FriendAcquaintance;StrangerUnknownOther,No,1,1,
2019,Female,Adult,1,,Asia,Asia,1,Female;Male,,Asia,FriendAcquaintance;StrangerUnknownOther,No,1,1,
2019,Female,Adult,1,,Asia,Asia,1,Female;Male,,Asia,FriendAcquaintance;StrangerUnknownOther,No,1,1,
2019,Female,Adult,1,,Asia,Asia,1,Female;Male,,Asia,FriendAcquaintance;StrangerUnknownOther,No,1,1,
2019,Female,Adult,1,,Europe,Europe,1,Male,,Europe,FriendAcquaintance;StrangerUnknownOther,No,1,1,1
2019,Female,Adult,1,,Europe,Europe,1,Male,,Europe,FriendAcquaintance;StrangerUnknownOther,No,1,1,1
2019,Female,Adult,1,,Europe,Europe,1,Male,,Europe,FriendAcquaintance;StrangerUnknownOther,No,1,1,1
2019,Female,Adult,1,,Europe,Europe,1,Male,,Europe,FriendAcquaintance;StrangerUnknownOther,No,1,1,1
2019,Female,Adult,1,,Europe,Europe,1,Female;Male,,Europe,StrangerUnknownOther,No,1,1,1
2019,Female,Adult,1,,Europe,Europe,1,Female;Male,,Europe,StrangerUnknownOther,No,1,1,1
2019,Female,Adult,1,,Europe,Europe,1,Female;Male,,Europe,StrangerUnknownOther,No,1,1,1
2019,Female,Adult,1,,Europe,Europe,1,Female;Male,,Europe,StrangerUnknownOther,No,1,1,1
2019,Female,Adult,1,,Europe,Europe,1,Female;Male,,Europe,StrangerUnknownOther,No,1,1,1
2019,Female,Adult,1,,Europe,Europe,1,Female;Male,,Europe,StrangerUnknownOther,No,1,1,1
2019,Female,Adult,1,,Europe,Europe,1,Female;Male,,Europe,StrangerUnknownOther,No,1,1,1
2019,Female,Adult,1,,Europe,Europe,1,Female;Male,,Europe,StrangerUnknownOther,No,1,1,1
2019,Female,Adult,1,,Europe,Europe,1,Female;Male,,Europe,StrangerUnknownOther,No,1,1,1
2019,Female,Adult,1,,Europe,Europe,1,Female;Male,,Europe,StrangerUnknownOther,No,1,1,1
2019,Female,Adult,1,,Europe,Europe,1,Female;Male,,Europe,StrangerUnknownOther,No,1,1,1
2019,Female,Adult,1,,Europe,Europe,1,Female;Male,,Europe,StrangerUnknownOther,No,1,1,1
2019,Female,Adult,1,,Europe,Europe,1,Female;Male,,Europe,StrangerUnknownOther,No,1,1,1
2019,Female,Adult,1,,Europe,Europe,1,Female;Male,,Europe,StrangerUnknownOther,No,1,1,1
2019,Female,Adult,1,,Europe,Europe,1,Female;Male,,Europe,StrangerUnknownOther,No,1,1,1
2019,Female,Adult,1,,Europe,Europe,1,Female;Male,,Europe,StrangerUnknownOther,No,1,1,1
2019,Female,Adult,1,,Europe,Europe,1,Female;Male,,Europe,StrangerUnknownOther,No,1,1,1
2019,Female,Adult,1,,Europe,Europe,1,Female;Male,,Europe,StrangerUnknownOther,No,1,1,1
2019,Female,Adult,1,,Europe,Europe,1,Female;Male,,Europe,StrangerUnknownOther,No;Yes,1,1,
2019,Female,Adult,1,,Europe,Europe,1,Female;Male,,Europe,StrangerUnknownOther,No;Yes,1,1,
2019,Female,Adult,1,,Europe,Europe,1,Female;Male,,Europe,StrangerUnknownOther,No;Yes,1,1,
2019,Female,Adult,1,,Europe,Europe,1,Female;Male,,Europe,StrangerUnknownOther,No;Yes,1,1,
2019,Female,Adult,1,,Europe,Europe,1,Female;Male,,Europe,FriendAcquaintance,No,1,1,1
2019,Female,Adult,1,,Europe,Europe,1,Female;Male,,Europe,FriendAcquaintance,No,1,1,1
2019,Female,Adult,1,,Europe,Europe,1,Female;Male,,Europe,FriendAcquaintance,No,1,1,1
2019,Female,Adult,1,,Europe,Europe,1,Female;Male,,Europe,FriendAcquaintance,No,1,1,1
2019,Female,Adult,1,,Europe,Europe,1,Female;Male,,Europe,FriendAcquaintance,No,1,1,1
2019,Female,Adult,1,,Europe,Europe,1,Female;Male,,Europe,FriendAcquaintance,No,1,1,1
2019,Female,Adult,1,,Europe,Europe,1,Female;Male,,Europe,FriendAcquaintance,No,1,1,1
2019,Female,Adult,1,,Europe,Europe,1,Female;Male,,Europe,FriendAcquaintance,No,1,1,1
2019,Female,Adult,1,,Europe,Europe,1,Female;Male,,Europe,FriendAcquaintance,No,1,1,1
2019,Female,Adult,1,,Europe,Europe,1,Female;Male,,Europe,FriendAcquaintance;StrangerUnknownOther,No,1,1,
2019,Male,Adult,1,,Europe,Europe,1,Female;Male,,,StrangerUnknownOther,No;Yes,1,1,1
2019,Male,Adult,1,,Europe,Europe,1,Female;Male,,Europe,StrangerUnknownOther,No,1,1,1
2019,Male,Adult,1,,Europe,Europe,1,Female;Male,,Europe,StrangerUnknownOther,No;Yes,1,1,
2019,Male,Adult,1,,Europe,Europe,1,Female;Male,,Europe,StrangerUnknownOther,No;Yes,1,1,
2019,Male,Adult,1,,Europe,Europe,1,Female;Male,,Europe,StrangerUnknownOther,No;Yes,1,1,
2019,Male,Adult,1,,Europe,Europe,1,Female;Male,,Europe,StrangerUnknownOther,No;Yes,1,1,
2019,Male,Adult,1,,Europe,Europe,1,Female;Male,,Europe,StrangerUnknownOther,No;Yes,1,1,
2019,Male,Adult,1,,Europe,Europe,1,Female;Male,,Europe,StrangerUnknownOther,No;Yes,1,1,
2019,Male,Adult,1,,Europe,Europe,1,Female;Male,,Europe,StrangerUnknownOther,No;Yes,1,1,
2020,Female,Adult,1,,Asia,Asia,1,Female;Male,,Asia,FriendAcquaintance;StrangerUnknownOther,No,1,1,
2020,Female,Adult,1,,Asia,Asia,1,Female;Male,,Asia,FriendAcquaintance;StrangerUnknownOther,No,1,1,
2020,Female,Adult,1,,Europe,Europe,1,Female;Male,,Europe,StrangerUnknownOther,No,1,1,1
2020,Female,Adult,1,,Europe,Europe,1,Female;Male,,Europe,StrangerUnknownOther,No,1,1,1
2020,Female,Adult,1,,Europe,Europe,1,Female;Male,,Europe,StrangerUnknownOther,No,1,1,1
2020,Female,Adult,1,,Europe,Europe,1,Female;Male,,Europe,StrangerUnknownOther,No,1,1,1
2020,Female,Adult,1,,Europe,Europe,1,Female;Male,,Europe,StrangerUnknownOther,No,1,1,1
2020,Female,Adult,1,,Europe,Europe,1,Female;Male,,Europe,StrangerUnknownOther,No,1,1,1
2020,Female,Adult,1,,Europe,Europe,1,Female;Male,,Europe,StrangerUnknownOther,No,1,1,1
2020,Female,Adult,1,,Europe,Europe,1,Female;Male,,Europe,StrangerUnknownOther,No,1,1,1
2020,Female,Adult,1,,Europe,Europe,1,Female;Male,,Europe,StrangerUnknownOther,No,1,1,1
2020,Female,Adult,1,,Europe,Europe,1,Female;Male,,Europe,StrangerUnknownOther,No,1,1,1
2020,Female,Adult,1,,Europe,Europe,1,Female;Male,,Europe,StrangerUnknownOther,No,1,1,1
2020,Female,Adult,1,,Europe,Europe,1,Female;Male,,Europe,StrangerUnknownOther,No,1,1,1
2020,Female,Adult,1,,Europe,Europe,1,Female;Male,,Europe,StrangerUnknownOther,No,1,1,1
2020,Female,Adult,1,,Europe,Europe,1,Female;Male,,Europe,StrangerUnknownOther,No,1,1,1
2020,Female,Adult,1,,Europe,Europe,1,Female;Male,,Europe,StrangerUnknownOther,No,1,1,1
2020,Female,Adult,1,,Europe,Europe,1,Female;Male,,Europe,StrangerUnknownOther,No,1,1,1
2020,Female,Adult,1,,Europe,Europe,1,Female;Male,,Europe,StrangerUnknownOther,No,1,1,1
2020,Female,Adult,1,,Europe,Europe,1,Female;Male,,Europe,StrangerUnknownOther,No,1,1,1
2020,Female,Adult,1,,Europe,Europe,1,Female;Male,,Europe,StrangerUnknownOther,No,1,1,1
2020,Female,Adult,1,,Europe,Europe,1,Female;Male,,Europe,StrangerUnknownOther,No,1,1,1
2020,Female,Adult,1,,Europe,Europe,1,Female;Male,,Europe,StrangerUnknownOther,No,1,1,1
2020,Female,Adult,1,,Europe,Europe,1,Female;Male,,Europe,StrangerUnknownOther,No,1,1,1
2020,Female,Adult,1,,Europe,Europe,1,Female;Male,,Europe,StrangerUnknownOther,No,1,1,1
2020,Female,Adult,1,,Europe,Europe,1,Female;Male,,Europe,StrangerUnknownOther,No;Yes,1,1,
2020,Female,Adult,1,,Europe,Europe,1,Female;Male,,Europe,StrangerUnknownOther,No;Yes,1,1,
2020,Female,Adult,1,,Europe,Europe,1,Female;Male,,Europe,StrangerUnknownOther,No;Yes,1,1,
2020,Female,Adult,1,,Europe,Europe,1,Female;Male,,Europe,StrangerUnknownOther,No;Yes,1,1,
2020,Male,Adult,1,,Europe,Europe,1,Female;Male,,Europe,StrangerUnknownOther,No,1,1,1
2020,Male,Adult,1,,Europe,Europe,1,Female;Male,,Europe,StrangerUnknownOther,No,1,1,1
2020,Male,Adult,1,,Europe,Europe,1,Female;Male,,Europe,StrangerUnknownOther,No,1,1,1
2020,Male,Adult,1,,Europe,Europe,1,Female;Male,,Europe,StrangerUnknownOther,No,1,1,1
2020,Male,Adult,1,,Europe,Europe,1,Female;Male,,Europe,StrangerUnknownOther,No,1,1,1
2020,Male,Adult,1,,Europe,Europe,1,Female;Male,,Europe,StrangerUnknownOther,No,1,1,1
2020,Male,Adult,1,,Europe,Europe,1,Female;Male,,Europe,StrangerUnknownOther,No,1,1,1
2020,Male,Adult,1,,Europe,Europe,1,Female;Male,,Europe,StrangerUnknownOther,No,1,1,1
2020,Male,Adult,1,,Europe,Europe,1,Female;Male,,Europe,StrangerUnknownOther,No,1,1,1
2020,Male,Adult,1,,Europe,Europe,1,Female;Male,,Europe,StrangerUnknownOther,No,1,1,1
2020,Male,Adult,1,,Europe,Europe,1,Female;Male,,Europe,StrangerUnknownOther,No,1,1,1
2020,Male,Adult,1,,Europe,Europe,1,Female;Male,,Europe,StrangerUnknownOther,No,1,1,1
2020,Male,Adult,1,,Europe,Europe,1,Female;Male,,Europe,StrangerUnknownOther,No,1,1,1
2020,Male,Adult,1,,Europe,Europe,1,Female;Male,,Europe,StrangerUnknownOther,No,1,1,1
2020,Male,Adult,1,,Europe,Europe,1,Female;Male,,Europe,StrangerUnknownOther,No,1,1,1
2020,Male,Adult,1,,Europe,Europe,1,Female;Male,,Europe,StrangerUnknownOther,No,1,1,1
2020,Male,Adult,1,,Europe,Europe,1,Female;Male,,Europe,StrangerUnknownOther,No,1,1,1
2020,Male,Adult,1,,Europe,Europe,1,Female;Male,,Europe,StrangerUnknownOther,No,1,1,1
2020,Male,Adult,1,,Europe,Europe,1,Female;Male,,Europe,StrangerUnknownOther,No,1,1,1
2020,Male,Adult,1,,Europe,Europe,1,Female;Male,,Europe,StrangerUnknownOther,No,1,1,1
2020,Male,Adult,1,,Europe,Europe,1,Female;Male,,Europe,StrangerUnknownOther,No;Yes,1,1,
2021-2022,Female,Adult,1,,Africa,,1,Female;Male,,Africa,FriendAcquaintance;StrangerUnknownOther,No;Yes,1,1,
2021-2022,Female,Adult,1,,Africa,,1,Female;Male,,Africa,FriendAcquaintance;StrangerUnknownOther,No;Yes,1,1,
2021-2022,Female,Adult,1,,Africa,,1,Female;Male,,Africa,FriendAcquaintance;StrangerUnknownOther,No;Yes,1,1,
2021-2022,Female,Adult,1,,Africa,Africa,1,Male,,Africa,FriendAcquaintance;StrangerUnknownOther,No,1,1,1
2021-2022,Female,Adult,1,,Africa,Asia,1,Female;Male,,,FriendAcquaintance;StrangerUnknownOther,No;Yes,1,1,
2021-2022,Female,Adult,1,,Africa,Asia,1,Female;Male,,Asia,StrangerUnknownOther,No;Yes,1,1,
2021-2022,Female,Adult,1,,Africa,Asia,1,Female;Male,,Asia,StrangerUnknownOther,No;Yes,1,1,
2021-2022,Female,Adult,1,,Africa,Asia,1,Female;Male,,Asia,StrangerUnknownOther,No;Yes,1,1,
2021-2022,Female,Adult,1,,Africa,Asia,1,Female;Male,,Asia,StrangerUnknownOther,No;Yes,1,1,
2021-2022,Female,Adult,1,,Africa,Asia,1,Female;Male,,Asia,StrangerUnknownOther,No;Yes,1,1,
,Female,Adult,1,,Asia,Europe,1,Female;Male,,Asia,FriendAcquaintance;StrangerUnknownOther,No,1,1,
,Female,Adult,1,,Europe,Europe,1,Male,,Europe,FriendAcquaintance;StrangerUnknownOther,No;Yes,1,1,
,Female,Adult,1,,Europe,Europe,1,Male,,Europe,FriendAcquaintance;StrangerUnknownOther,No;Yes,1,1,
,Female,Adult,1,,Europe,Europe,1,Male,,Europe,FriendAcquaintance;StrangerUnknownOther,No;Yes,1,1,
,Female,Adult,1,,Europe,Europe,1,Male,,Europe,FriendAcquaintance;StrangerUnknownOther,No;Yes,1,1,
,Female,Adult,1,,Europe,Europe,1,Female;Male,,Europe,StrangerUnknownOther,No,1,1,1
,Female,Adult,1,,Europe,Europe,1,Female;Male,,Europe,StrangerUnknownOther,No,1,1,1
,Female,Adult,1,,Europe,Europe,1,Female;Male,,Europe,StrangerUnknownOther,No,1,1,1
,Female,Adult,1,,Europe,Europe,1,Female;Male,,Europe,StrangerUnknownOther,No,1,1,1
,Female,Adult,1,,Europe,Europe,1,Female;Male,,Europe,StrangerUnknownOther,No,1,1,1
,Female,Adult,1,,Europe,Europe,1,Female;Male,,Europe,StrangerUnknownOther,No,1,1,1
,Male,Adult,1,,Asia,Asia,1,Female;Male,,Asia,StrangerUnknownOther,No;Yes,1,1,
,Male,Adult,1,,Asia,Asia,1,Female;Male,,Asia,FriendAcquaintance;StrangerUnknownOther,No,1,1,
,Male,Adult,1,,Asia,Asia,1,Female;Male,,Asia,FriendAcquaintance;StrangerUnknownOther,No,1,1,
